language;iso
Finnish;fin
Swedish;swe
Sami;sme
Abkhaz;abk
Afar;aar
Avestan;ave
Afrikaans;afr
Aymara;ayr
Akan;aka
Albanian;als
Amharic;amh
Arabic;arb
Aragonese;arg
Armenian;hye
Assamese;asm
Avaric;ava
Azerbaijani;azj
Bambara;bam
Basque;eus
Bashkir;bak
Bengali, (Bangla);ben
Bihari languages;mai
Bislama;bis
Bosnian;bos
Bulgarian;bul
Burmese;mya
Cree;crk
Divehi, Dhivehi, Maldivian;div
Dzongkha;dzo
English;eng
Spanish;spa
Esperanto;epo
Southern ndebele;nde
Sotho, Southern;stn
Ewe;ewe
Fijian;fij
Fula, Fulah, Pulaar, Pular;fuc
Faroese;far
Galician;glg
Ganda;lug
Georgian;kat
Kalaallisut;kal
Guaraní;gug
Gujarati;guj
Haitian;hat
Hausa;hau
Hebrew;heb
Herero;her
Hindi;hin
Dutch;nld
Ido;ido
Igbo;ibo
Irish;gle
Indonesian;ind
Icelandic;isl
Italian;ita
Javanese;jav
Japanese;jpn
Yiddish;ydd
Yoruba;yor
Kannada;kan
Kanuri;knc
Kashmiri;kas
Catalan;cat
Luba-Katanga;lub
Kazakh;kaz
Central Khmer;khm
Quechua;quy
Chinese;cmn
Kikuyu;kik
Kirghiz;kyr
Komi;koi
Kongo;kng
Korean;kor
Greek (modern);ell
Croatian;hrv
Kuanyama;kua
Kurdish;ckb
Welsh;cym
Lao;lao
Latin;lat
Latvian;lvs
Lithuanian;lit
Limburgish, Limburgan, Limburger;lim
Lingala;lin
Luxembourgish;ltz
Western Frisian;fry
Macedonian;mkd
Malagasy;plt
Malay;zlm
Malayalam;mal
Maltese;mlt
Marathi;mar
Moldavian;ron
Mongolian;khk
Nauru;nau
Ndonga;ndo
Nepali;npi
Chichewa, Chewa, Nyanja;nya
Norwegian;nor
Oriya;ory
Oromo;hae
Ossetian, Ossetic;oss
pali;pli
Panjabi;pan
Pushto;pst
Persian, Farsi;pes
Northern Ndebele;nbl
Portuguese;por
Polish;pol
French;fra
Romansh;roh
Romanian;ron
Kinyarwanda;kin
Rundi;run
German;deu
Samoan;smo
Sango;sag
Serbian;hbs
Serbo-Croatian;hbs
Sindhi;snd
Sinhala;sin
Gaelic;gla
Slovak;slk
Slovene;slv
Somali;som
Shona;sna
Sundanese;sun
Swahili;swh
Swati;ssw
Tajik;tgk
Tagalog;tgl
Tahitian;tah
Tamil;tam
Danish;dan
Tatar;tat
Telugu;tel
Thai;tha
Tigrinya;tig
Tibetan Standard, Tibetan, Central;bod
Tonga, Tonga Islands;ton
Chamorro;cha
Czech;ces
Chechen;che
Tsonga;tso
Chuvash;chv
Tswana;tsn
Turkish;tur
Turkmen;tuk
Twi;aka
Uighur;uig
Ukrainian;ukr
Hungarian;hun
Urdu;urd
Uzbek;uzn
Belarusian;bel
Venda;ven
Russian;rus
Vietnamese;vie
Estonian;ekk
Wolof;wol
Xhosa;xho
Zhuang;zgn
Zulu;zul
Other language;other
Unknown;unknown
